factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
B,1,0.030462174312455376,-30.331314694530388,21.28210987499915,90.21772004992147,0.4828754663467407,0.39479731580117416,1
B,2,0.029104267032235974,-30.726112010331562,21.216804906289326,90.49479177677993,0.5287017747759819,0.39479731580117416,1
D,1,0.030299732632941525,-30.379825220340724,21.26588363526389,90.28715530915065,0.508487731218338,0.3015133168171964,2
D,2,0.029266708711749825,-30.68133853715792,21.233031146024587,90.42535651755075,0.5030895099043846,0.3015133168171964,2
E,1,0.0295868433143366,-30.583604104000777,21.252622041502036,90.34187362410316,0.5046133100986481,0.10140419751552798,3
E,2,0.02997959803035475,-30.48219990648525,21.24629273978644,90.37063820259824,0.5069639310240746,0.10140419751552798,3
C,1,0.029731785500548842,-30.554914142904224,21.276687008421867,90.24066537041134,0.4939069330692291,0.05815288077471692,4
C,2,0.02986894595867373,-30.496761262129507,21.20407469434819,90.54890681824968,0.5255914330482483,0.05815288077471692,4
A,1,0.029690174787466966,-30.556923223687676,21.257659027702175,90.32046596750133,0.49072323242823285,0.03802288228096273,5
A,2,0.0298390482032729,-30.518900341406713,21.244536408409477,90.3777298808603,0.5148278534412384,0.03802288228096273,5
