run,A,B,C,D,E,F,G,H
1,1,1,1,1,1,1,1,1
2,1,1,2,2,2,2,2,1
3,1,1,3,3,3,3,3,1
4,2,2,1,1,2,2,3,1
5,2,2,2,2,3,3,1,1
6,2,2,3,3,1,1,2,1
7,3,3,1,2,1,3,2,1
8,3,3,2,3,2,1,3,1
9,3,3,3,1,3,2,1,1
10,1,2,1,3,3,2,2,2
11,1,2,2,1,1,3,3,2
12,1,2,3,2,2,1,1,2
13,2,3,1,2,3,1,1,2
14,2,3,2,3,1,2,2,2
15,2,3,3,1,2,3,3,2
16,3,1,1,3,2,3,3,2
17,3,1,2,1,3,1,1,2
18,3,1,3,2,1,2,2,2
