factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
B,1,0.026104085097114774,-31.7816659976112,24.685433697974076,77.83212787676266,0.5315362885594368,0.5679753453476692,1
B,2,0.024133423225319372,-32.34964134295887,25.266675999970175,75.99467561227561,0.5184665843844414,0.5679753453476692,1
D,1,0.025994876915654924,-31.822561102039074,25.208330749708693,76.20435956553564,0.5524230748414993,0.4908785401438891,2
D,2,0.02424263140677923,-32.31343964218296,24.74377894823556,77.62244392350263,0.49757979810237885,0.4908785401438891,2
A,1,0.026099708717701467,-31.842811079783747,24.709665152632322,77.73462852543008,0.5287186702092489,0.365662831869745,3
A,2,0.024530181427326443,-32.20847391165349,25.135888666776008,76.42066567597257,0.5227710962295532,0.365662831869745,3
E,1,0.0258350547863695,-31.88892129131014,24.813291395723354,77.4178908895537,0.5239500179886818,0.3643808464415059,4
E,2,0.02440245353606465,-32.253302137751646,25.138818302220898,76.40891259948457,0.5260528549551964,0.3643808464415059,4
C,1,0.0254960730349716,-31.983094017161715,25.151666749757716,76.37007899692209,0.5322239577770234,0.24071345676961542,5
C,2,0.0244898893716262,-32.22380747393133,24.68336834766281,77.81893965718088,0.5129639009634653,0.24071345676961542,5
