factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
B,1,0.0246592687913789,-32.17522918592619,24.87273162501515,77.20808579001448,0.5137065351009369,0.44568645890666403,1
B,2,0.0234363735814789,-32.620915644832856,25.09396102075698,76.52871805436826,0.5153039619326591,0.44568645890666403,1
D,1,0.023720713417446474,-32.53252666439061,25.31889781274367,75.83524199000146,0.5152344405651093,0.26141224406676855,2
D,2,0.024374928955411327,-32.27111442032384,24.647794833028456,77.90156185438127,0.5137760564684868,0.26141224406676855,2
A,1,0.0244363438679122,-32.253279599109185,24.768503402670223,77.53265210148176,0.5249172349770864,0.23837037211348644,3
A,2,0.02381470757753892,-32.49164997122267,25.11225207501557,76.46985181461713,0.508258056640625,0.23837037211348644,3
C,1,0.02417095016628858,-32.34262061641145,25.048500766605137,76.65950239466308,0.5097701609134674,0.16123438734652495,4
C,2,0.023842606219996103,-32.50385500375798,24.874755583354272,77.21656780140519,0.5223970611890157,0.16123438734652495,4
E,1,0.023912397970243124,-32.42818023580152,24.924767551769037,77.04591023012543,0.5300923362374306,0.04892400699746702,5
E,2,0.024183244402614677,-32.37925622880405,25.04192509400309,76.6908936142573,0.49891816079616547,0.04892400699746702,5
