factor,level,mean_metric,snr,mean_runtime_seconds,mean_images_per_second,mean_loss_final,delta,rank
D,1,0.02871276196392275,-30.842965804152584,20.78243582273717,92.38614740681622,0.4835463985800743,0.32340491319143894,1
D,2,0.0297988527355619,-30.519560890961145,20.85841711453395,92.05269906310508,0.505901962518692,0.32340491319143894,1
A,1,0.02971612060854767,-30.546562895913997,20.795974249679904,92.32756953474593,0.500312606493632,0.21828778549934214,2
A,2,0.028979619394459116,-30.76485068141334,20.835097800008953,92.15453545508947,0.49137112498283386,0.21828778549934214,2
C,1,0.02899092950470112,-30.763080337552445,20.826447016606107,92.1910634823461,0.49909279942512513,0.21341651431571762,3
C,2,0.029697270424811,-30.549663823236727,20.81039222201798,92.26668948931824,0.48744314908981323,0.21341651431571762,3
E,1,0.029494797562841003,-30.609139984547,20.87649680202594,91.97175652842975,0.4894515797495842,0.1489883327666206,4
E,2,0.02901681713664365,-30.75812831731362,20.76435613524518,92.46708994149155,0.49999678134918213,0.1489883327666206,4
B,1,0.029181844753338675,-30.711391704453376,20.836669343261747,92.1486015400486,0.48250630497932434,0.05440777961271692,5
B,2,0.029329769946145973,-30.65698392484066,20.804183594009373,92.2902449298727,0.506942056119442,0.05440777961271692,5
